model,row,status,assertions_passed,assertions_total,pass_rate,error_message,assertion_details
anthropic/claude-haiku-4-5@20251001,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-haiku-4-5@20251001,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-haiku-4-5@20251001,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
anthropic/claude-opus-4-1@20250805,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-opus-4-1@20250805,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-opus-4-1@20250805,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
anthropic/claude-opus-4-5@20251101,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-opus-4-5@20251101,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-opus-4-5@20251101,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
anthropic/claude-opus-4-6@default,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-opus-4-6@default,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-opus-4-6@default,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
anthropic/claude-sonnet-4-5@20250929,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-sonnet-4-5@20250929,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-sonnet-4-5@20250929,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
anthropic/claude-sonnet-4-6@default,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-sonnet-4-6@default,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-sonnet-4-6@default,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
anthropic/claude-sonnet-4@20250514,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
anthropic/claude-sonnet-4@20250514,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
anthropic/claude-sonnet-4@20250514,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
deepseek-ai/deepseek-r1-0528,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
deepseek-ai/deepseek-r1-0528,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
deepseek-ai/deepseek-r1-0528,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
deepseek-ai/deepseek-v3.1,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
deepseek-ai/deepseek-v3.1,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
deepseek-ai/deepseek-v3.1,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
deepseek-ai/deepseek-v3.2,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
deepseek-ai/deepseek-v3.2,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
deepseek-ai/deepseek-v3.2,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-2.0-flash,0,SUCCESS,4,5,0.8,,FAIL: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
