model,assertions_passed,assertions_total,pass_rate
anthropic/claude-opus-4-1@20250805,25,25,1.0
google/gemini-3.1-pro-preview,25,25,1.0
anthropic/claude-opus-4-5@20251101,25,25,1.0
anthropic/claude-opus-4-6@default,25,25,1.0
anthropic/claude-sonnet-4-5@20250929,25,25,1.0
anthropic/claude-sonnet-4-6@default,25,25,1.0
deepseek-ai/deepseek-v3.1,25,25,1.0
google/gemini-2.0-flash,25,25,1.0
deepseek-ai/deepseek-v3.2,25,25,1.0
qwen/qwen3-235b-a22b-instruct-2507,25,25,1.0
google/gemini-3-flash-preview,25,25,1.0
zai/glm-5,25,25,1.0
anthropic/claude-haiku-4-5@20251001,24,25,0.96
qwen/qwen3-coder-480b-a35b-instruct,24,25,0.96
qwen/qwen3-next-80b-a3b-thinking,24,25,0.96
deepseek-ai/deepseek-r1-0528,24,25,0.96
anthropic/claude-sonnet-4@20250514,24,25,0.96
google/gemma-3-27b,23,25,0.92
openai/gpt-5.4-2026-03-05,23,25,0.92
google/gemini-2.0-flash-lite,23,25,0.92
google/gemini-3.1-flash-lite-preview,23,25,0.92
openai/gpt-5.4-nano-2026-03-17,23,25,0.92
google/gemini-2.5-pro,22,25,0.88
google/gemma-4-31b,22,25,0.88
google/gemma-4-26b-a4b,22,25,0.88
qwen/qwen3-next-80b-a3b-instruct,22,25,0.88
openai/gpt-oss-20b,22,25,0.88
google/gemini-2.5-flash,21,25,0.84
google/gemma-3-12b,21,25,0.84
google/gemma-3-4b,21,25,0.84
openai/gpt-5.4-mini-2026-03-17,20,25,0.8
openai/gpt-oss-120b,19,25,0.76
google/gemma-3-1b,17,25,0.68
